OBJECTID;HSISID;NAME;ADDRESS1;ADDRESS2;CITY;STATE;POSTALCODE;PHONENUMBER;RestaurantOpenDate;FACILITYTYPE;PERMITID;X;Y;GEOCODESTATUS;geo_shape;geo_point_2d
32403;04092017307;WENDY'S #6333;7460 Louisburg Rd;;RALEIGH;NC;27616-6455;(919) 713-0810;2016-09-01T22:00:00-04:00;Restaurant;9334;-78.53976999999999;35.87454018;M;"{""type"": ""Point"", ""coordinates"": [-78.53977258277693, 35.87454728437307]}";35.8745472844,-78.5397725828
32405;04092020976;Food Lion #1654 Deli;7440 Louisburg Rd;;RALEIGH;NC;27616-6482;(919) 875-1394;2000-06-30T22:00:00-04:00;Food Stand;3547;-78.53976999999999;35.87454018;M;"{""type"": ""Point"", ""coordinates"": [-78.53977258277693, 35.87454728437307]}";35.8745472844,-78.5397725828
32407;04092018051;FUJI SAN;8411 Brier Creek  PKY;Ste 105;RALEIGH;NC;27617;(919) 806-2888;2019-02-10T20:00:00-05:00;Restaurant;16909;-78.78334742;35.90685073;M;"{""type"": ""Point"", ""coordinates"": [-78.78335008348428, 35.906857828420456]}";35.9068578284,-78.7833500835
32414;04092014019;Jason`s Deli;8421-101 Brier Creek Pky;;RALEIGH;NC;27617;(919) 572-9996;2004-04-06T22:00:00-04:00;Restaurant;4022;-78.78578747;35.90670595;M;"{""type"": ""Point"", ""coordinates"": [-78.78579012957275, 35.906713051232266]}";35.9067130512,-78.7857901296
32416;04092021350;Earth Fare The Healthy Supermarket Specialty/Cheese;10341 Moncreiffe RD;;RALEIGH;NC;27617;(828) 712-4504;2005-08-23T22:00:00-04:00;Food Stand;19575;-78.79210079;35.89996272;M;"{""type"": ""Point"", ""coordinates"": [-78.79210344709632, 35.89996981463605]}";35.8999698146,-78.7921034471
32417;04092015493;ZAYKA INDIAN CUISINE;10410-103 MONCREIFFE  RD;;RALEIGH;NC;27617;(919) 361-5370;2009-10-21T22:00:00-04:00;Restaurant;17673;-78.79299562;35.90013638;M;"{""type"": ""Point"", ""coordinates"": [-78.79299828010457, 35.90014347510224]}";35.9001434751,-78.7929982801
32420;04092016125;PANERA BREAD #1649;7840 ALEXANDER PROMENADE PL;Ste 100;RALEIGH;NC;27617;(919) 293-0900;2012-03-27T22:00:00-04:00;Restaurant;9384;-78.77695631;35.91424375;M;"{""type"": ""Point"", ""coordinates"": [-78.7769589699936, 35.914250850956726]}";35.914250851,-78.77695897
32422;04092018038;Jersey Mike's Subs #3181;4205 Corners PKY;Suite 130;RALEIGH;NC;27617;(919) 999-1539;2019-01-23T20:00:00-05:00;Restaurant;17840;-78.78791806;35.91890975;M;"{""type"": ""Point"", ""coordinates"": [-78.78792072008028, 35.918916848310005]}";35.9189168483,-78.7879207201
32431;04092017823;Triangle Springs Hospital Foodservice;10901 World Trade BLVD;;RALEIGH;NC;27617;(919) 746-8900;2018-03-25T22:00:00-04:00;Restaurant;11903;-78.81422864;35.90306203;M;"{""type"": ""Point"", ""coordinates"": [-78.81423130442177, 35.90306912430943]}";35.9030691243,-78.8142313044
32458;04092014492;Brasa Brazilian Steakhouse;8551 Brier Creek PKY;;RALEIGH;NC;27617;(919) 544-3344;2006-02-01T20:00:00-05:00;Restaurant;17422;-78.78334742;35.90685073;M;"{""type"": ""Point"", ""coordinates"": [-78.78335008348428, 35.906857828420456]}";35.9068578284,-78.7833500835
32459;04092016965;RESIDENCE INN/MARRIOTT COURTYARD FOOD SERVICE;10600 LITTLE BRIER CREEK LN;;RALEIGH;NC;27617;(919) 472-1000;2015-06-17T22:00:00-04:00;Restaurant;13376;-78.79032614;35.9166105;M;"{""type"": ""Point"", ""coordinates"": [-78.79032880480112, 35.91661760630483]}";35.9166176063,-78.7903288048
32463;04092015618;HIBACHI 101;7870 ALEXANDER PROMENADE PL;;RALEIGH;NC;27617;(919) 569-2888;2010-04-21T22:00:00-04:00;Restaurant;15925;-78.77695631;35.91424375;M;"{""type"": ""Point"", ""coordinates"": [-78.7769589699936, 35.914250850956726]}";35.914250851,-78.77695897
32464;04092017079;ALADDINS EATERY;8201 BRIER CREEK  PKY;STE 107;RALEIGH;NC;27617;(919) 806-5700;2015-11-12T20:00:00-05:00;Restaurant;15936;-78.78334742;35.90685073;M;"{""type"": ""Point"", ""coordinates"": [-78.78335008348428, 35.906857828420456]}";35.9068578284,-78.7833500835
32477;04092017948;Holiday Inn Express & Suites Foodservice;10450 Little Briar Creek LN;;RALEIGH;NC;27617;(919) 748-4801;2018-08-21T22:00:00-04:00;Restaurant;9581;-78.78894753;35.914271049999996;M;"{""type"": ""Point"", ""coordinates"": [-78.78895018835392, 35.914278153022295]}";35.914278153,-78.7889501884
32484;04092017767;Hyatt House Brier Creek H Bar;10030 Sellona ST;;RALEIGH;NC;27618;(919) 405-7001;2017-12-20T20:00:00-05:00;Restaurant;19029;-78.80632327000001;35.89547509;M;"{""type"": ""Point"", ""coordinates"": [-78.80632593336763, 35.89548218807465]}";35.8954821881,-78.8063259334
32486;04092030419;Scaleboyz Fish, Chips & More;2201 S Wilmington ST;;RALEIGH;NC;27620;(919) 724-8285;2019-05-09T22:00:00-04:00;Mobile Food Units;16575;-78.63902655;35.752054;M;"{""type"": ""Point"", ""coordinates"": [-78.63902915336328, 35.752061073209084]}";35.7520610732,-78.6390291534
32491;04092021395;Anton Airfood Commissary Kitchen;1025 Airside DR;Suite 2101;RALEIGH;NC;27623;(919) 840-0506;2006-07-09T22:00:00-04:00;Food Stand;6268;0.0;0.0;U;;
32493;04092010018;Angus Barn;9401 Glenwood AVE;;RALEIGH;NC;27628;(919) 781-2444;1991-05-02T22:00:00-04:00;Restaurant;2144;-78.76417685;35.89836822;M;"{""type"": ""Point"", ""coordinates"": [-78.76417950429935, 35.89837531756976]}";35.8983753176,-78.7641795043
32499;04092016152;CLARK DINING HALL;221 JENSEN  DR;;RALEIGH;NC;27695;(919) 513-4680;2012-02-08T20:00:00-05:00;Restaurant;3748;-78.67872874;35.78448278;M;"{""type"": ""Point"", ""coordinates"": [-78.67873136187218, 35.78448986168717]}";35.7844898617,-78.6787313619
32501;04092021786;PORT CITY JAVA TALLEY;2610 CATES AVE;;RALEIGH;NC;27695;(919) 524-4455;2014-03-10T21:00:00-04:00;Food Stand;8423;-78.67872874;35.78448278;M;"{""type"": ""Point"", ""coordinates"": [-78.67873136187218, 35.78448986168717]}";35.7844898617,-78.6787313619
32503;04092021683;BRAGAW C-STORE;210 DAN ALLEN DR;;RALEIGH;NC;27695;(919) 515-3095;2011-07-25T22:00:00-04:00;Food Stand;4592;-78.67872874;35.78448278;M;"{""type"": ""Point"", ""coordinates"": [-78.67873136187218, 35.78448986168717]}";35.7844898617,-78.6787313619
32504;04092021756;CARTER FINLEY CHICK-FIL-A;4600 TRINITY RD;;RALEIGH;NC;27695;(919) 602-0084;2013-08-25T22:00:00-04:00;Food Stand;19340;-78.71758209;35.80167428;M;"{""type"": ""Point"", ""coordinates"": [-78.71758472254243, 35.801681359451685]}";35.8016813595,-78.7175847225
32510;04092021758;TALLEY STUDENT UNION MAIN KITCHEN;2610 CATES AVE;;RALEIGH;NC;27695;(919) 515-3022;2013-10-03T22:00:00-04:00;Food Stand;14094;-78.67872874;35.78448278;M;"{""type"": ""Point"", ""coordinates"": [-78.67873136187218, 35.78448986168717]}";35.7844898617,-78.6787313619
